ingredient,risk,function,side_effects
propyl trisiloxane,Safe,General,No known major side effects
propyl valerate,Safe,General,No known major side effects
prorocentrum micans cell extract,Safe,Natural/conditioning,Generally safe
prorocentrum minimum cell extract,Safe,Natural/conditioning,Generally safe
prosopis juliflora leaf,Safe,General,No known major side effects
prosopis velutina seed extract,Safe,Natural/conditioning,Generally safe
prostanthera incisa leaf extract,Safe,Natural/conditioning,Generally safe
prostanthera rotundifolia leaf extract,Safe,Natural/conditioning,Generally safe
protamine sulfate,Safe,General,No known major side effects
protea cynaroides flower extract,Safe,Natural/conditioning,Generally safe
protea repens flower nectar,Safe,General,No known major side effects
protease dextran,Safe,General,No known major side effects
proteins thaumatins,Safe,General,No known major side effects
protium heptaphyllum resin,Safe,General,No known major side effects
protium heptaphyllum resin extract,Safe,Natural/conditioning,Generally safe
protium heptaphyllum resin oil,Safe,Natural/conditioning,Generally safe
protium pallidum extract,Safe,Natural/conditioning,Generally safe
protocatechuicaldehyde,Safe,General,No known major side effects
protodioscin,Safe,General,No known major side effects
prunasin,Safe,General,No known major side effects
prunella vulgaris,Safe,General,No known major side effects
prunella vulgaris extract,Safe,Natural/conditioning,Generally safe
prunella vulgaris flower extract,Safe,Natural/conditioning,Generally safe
prunus africana bark extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus amara kernel cold pressed oil,Safe,Natural/conditioning,Generally safe
prunus amygdalus amara kernel oil,Safe,Natural/conditioning,Generally safe
prunus amygdalus amara seed extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis bark extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis bark powder,Safe,General,No known major side effects
prunus amygdalus dulcis bud extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis flower extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis fruit water,Safe,General,No known major side effects
prunus amygdalus dulcis leaf cell extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis oil unsaponifiables,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis seed,Safe,General,No known major side effects
prunus amygdalus dulcis seedcoat extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis seedcoat powder,Safe,General,No known major side effects
prunus amygdalus dulcis seed meal,Safe,General,No known major side effects
prunus amygdalus dulcis shell extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus dulcis shell powder,Safe,General,No known major side effects
prunus amygdalus sativa kernel extract,Safe,Natural/conditioning,Generally safe
prunus amygdalus sativa kernel oil,Safe,Natural/conditioning,Generally safe
prunus armeniaca bud extract,Safe,Natural/conditioning,Generally safe
prunus armeniaca flower extract,Safe,Natural/conditioning,Generally safe
prunus armeniaca fruit water,Safe,General,No known major side effects
prunus armeniaca juice,Safe,General,No known major side effects
prunus armeniaca kernel extract,Safe,Natural/conditioning,Generally safe
prunus armeniaca kernel oil unsaponifiables,Safe,Natural/conditioning,Generally safe
prunus armeniaca kernel wax,Safe,General,No known major side effects
prunus armeniaca leaf cell extract,Safe,Natural/conditioning,Generally safe
prunus armeniaca leaf extract,Safe,Natural/conditioning,Generally safe
prunus armeniaca seed powder,Safe,General,No known major side effects
prunus armeniaca shell powder,Safe,General,No known major side effects
prunus avium flower extract,Safe,Natural/conditioning,Generally safe
prunus avium flower water,Safe,General,No known major side effects
prunus avium fruit,Safe,General,No known major side effects
prunus avium fruit extract,Safe,Natural/conditioning,Generally safe
prunus avium fruit juice,Safe,General,No known major side effects
prunus avium fruit water,Safe,General,No known major side effects
prunus avium seed extract,Safe,Natural/conditioning,Generally safe
prunus avium seed oil,Safe,Natural/conditioning,Generally safe
prunus avium seed powder,Safe,General,No known major side effects
prunus avium shell powder,Safe,General,No known major side effects
prunus avium wood extract,Safe,Natural/conditioning,Generally safe
prunus campanulata/yedoensis flower extract,Safe,Natural/conditioning,Generally safe
prunus campanulata/yedoensis leaf extract,Safe,Natural/conditioning,Generally safe
prunus cerasifera flower extract,Safe,Natural/conditioning,Generally safe
prunus cerasus bud extract,Safe,Natural/conditioning,Generally safe
prunus cerasus extract,Safe,Natural/conditioning,Generally safe
prunus cerasus flower extract,Safe,Natural/conditioning,Generally safe
prunus cerasus fruit,Safe,General,No known major side effects
prunus cerasus fruit extract,Safe,Natural/conditioning,Generally safe
prunus cerasus fruit water,Safe,General,No known major side effects
prunus cerasus juice,Safe,General,No known major side effects
prunus cerasus leaf cell extract,Safe,Natural/conditioning,Generally safe
prunus cerasus leaf extract,Safe,Natural/conditioning,Generally safe
prunus cerasus seed oil,Safe,Natural/conditioning,Generally safe
prunus cerasus shell powder,Safe,General,No known major side effects
prunus cerasus stalk extract,Safe,Natural/conditioning,Generally safe
prunus davidiana extract,Safe,Natural/conditioning,Generally safe
prunus davidiana flower extract,Safe,Natural/conditioning,Generally safe
prunus domestica/hydrogenated prunus domestica seed oil esters,Safe,Natural/conditioning,Generally safe
prunus domestica flower extract,Safe,Natural/conditioning,Generally safe
prunus domestica fruit juice,Safe,General,No known major side effects
prunus domestica leaf extract,Safe,Natural/conditioning,Generally safe
prunus domestica seedcake extract,Safe,Natural/conditioning,Generally safe
prunus domestica seed extract,Safe,Natural/conditioning,Generally safe
prunus domestica seed oil,Safe,Natural/conditioning,Generally safe
prunus domestica seed powder,Safe,General,No known major side effects
prunus domestica wood ash,Safe,General,No known major side effects
prunus humilis fruit extract,Safe,Natural/conditioning,Generally safe
prunus insititia juice,Safe,General,No known major side effects
prunus japonica seed extract,Safe,Natural/conditioning,Generally safe
prunus lannesiana flower powder,Safe,General,No known major side effects
prunus mume branch extract,Safe,Natural/conditioning,Generally safe
prunus mume bud extract,Safe,Natural/conditioning,Generally safe
prunus mume extract,Safe,Natural/conditioning,Generally safe
prunus mume flower,Safe,General,No known major side effects
prunus mume flower extract,Safe,Natural/conditioning,Generally safe
prunus mume flower powder,Safe,General,No known major side effects
prunus mume flower water,Safe,General,No known major side effects
prunus mume fruit,Safe,General,No known major side effects
prunus mume fruit juice,Safe,General,No known major side effects
prunus mume fruit vinegar,Safe,General,No known major side effects
prunus mume fruit water,Safe,General,No known major side effects
prunus mume leaf extract,Safe,Natural/conditioning,Generally safe
prunus mume phytoplacenta extract,Safe,Natural/conditioning,Generally safe
prunus mume root extract,Safe,Natural/conditioning,Generally safe
prunus mume seed extract,Safe,Natural/conditioning,Generally safe
prunus mume seed powder,Safe,General,No known major side effects
prunus padus extract,Safe,Natural/conditioning,Generally safe
prunus pedunculata seed oil,Safe,Natural/conditioning,Generally safe
prunus persica bud extract,Safe,Natural/conditioning,Generally safe
prunus persica callus culture extract,Safe,Natural/conditioning,Generally safe
prunus persica callus extract,Safe,Natural/conditioning,Generally safe
prunus persica extract,Safe,Natural/conditioning,Generally safe
prunus persica flower extract,Safe,Natural/conditioning,Generally safe
prunus persica flower powder,Safe,General,No known major side effects
prunus persica fruit,Safe,General,No known major side effects
prunus persica fruit extract,Safe,Natural/conditioning,Generally safe
prunus persica gum,Safe,General,No known major side effects
prunus persica juice,Safe,General,No known major side effects
prunus persica kernel oil,Safe,Natural/conditioning,Generally safe
prunus persica nectarina fruit extract,Safe,Natural/conditioning,Generally safe
prunus persica seed powder,Safe,General,No known major side effects
prunus persica wood extract,Safe,Natural/conditioning,Generally safe
prunus salicina fruit juice,Safe,General,No known major side effects
prunus sargentii fruit extract,Safe,Natural/conditioning,Generally safe
prunus serotina bark,Safe,General,No known major side effects
prunus serotina bark extract,Safe,Natural/conditioning,Generally safe
prunus serotina juice,Safe,General,No known major side effects
prunus serrulata bark extract,Safe,Natural/conditioning,Generally safe
prunus serrulata branch/leaf extract,Safe,Natural/conditioning,Generally safe
prunus serrulata flower water,Safe,General,No known major side effects
prunus serrulata leaf cell extract,Safe,Natural/conditioning,Generally safe
prunus serrulata phytoplacenta culture extract,Safe,Natural/conditioning,Generally safe
prunus speciosa bark extract,Safe,Natural/conditioning,Generally safe
prunus speciosa flower extract,Safe,Natural/conditioning,Generally safe
prunus speciosa leaf water,Safe,General,No known major side effects
prunus spinosa flower extract,Safe,Natural/conditioning,Generally safe
prunus spinosa flower water,Safe,General,No known major side effects
prunus spinosa fruit extract,Safe,Natural/conditioning,Generally safe
prunus spinosa fruit juice,Safe,General,No known major side effects
prunus subhirtella ascendens leaf extract,Safe,Natural/conditioning,Generally safe
prunus tomentosa fruit extract,Safe,Natural/conditioning,Generally safe
prunus triloba fruit water,Safe,General,No known major side effects
prunus virginiana bark extract,Safe,Natural/conditioning,Generally safe
prunus yedoensis bark extract,Safe,Natural/conditioning,Generally safe
prunus yedoensis branch/leaf extract,Safe,Natural/conditioning,Generally safe
prunus yedoensis flower/twig water,Safe,General,No known major side effects
prunus yedoensis leaf extract,Safe,Natural/conditioning,Generally safe
prunus yedoensis leaf water,Safe,General,No known major side effects
prunus yedoensis sprout cell extract,Safe,Natural/conditioning,Generally safe
prunus zippeliana bark/twig extract,Safe,Natural/conditioning,Generally safe
psalliota campestris extract,Safe,Natural/conditioning,Generally safe
pseudanabaenaceae ferment filtrate,Safe,General,No known major side effects
pseudanabaena galeata extract,Safe,Natural/conditioning,Generally safe
pseudoalteromonas exopolysaccharides,Safe,General,No known major side effects
pseudoalteromonas ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pseudoalteromonas ferment lysate extract filtrate,Safe,Natural/conditioning,Generally safe
pseudochlorodesmis australis callus culture extract,Safe,Natural/conditioning,Generally safe
pseudochoricystis ellipsoidea extract,Safe,Natural/conditioning,Generally safe
pseudomonas aeruginosa/carapa guianensis seedcake ferment filtrate,Safe,General,No known major side effects
pseudotsuga menziesii branch/leaf oil,Safe,Natural/conditioning,Generally safe
pseudotsuga menziesii branch water,Safe,General,No known major side effects
pseudotsuga menziesii resin,Safe,General,No known major side effects
pseudotsuga menziesii wood extract,Safe,Natural/conditioning,Generally safe
pseudowintera colorata flower/leaf extract,Safe,Natural/conditioning,Generally safe
pseudowintera colorata leaf extract,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/avocado oil ferment extract,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/camellia japonica seed oil ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/evening primrose oil ferment extract,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/jojoba seed oil ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/macadamia seed oil ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/meadowfoam seed oil ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/rosa canina fruit oil ferment extract,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/safflower seed oil ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pseudozyma epicola/sunflower seed oil ferment extract filtrate,Safe,Natural/conditioning,Generally safe
psiadia altissima leaf oil,Safe,Natural/conditioning,Generally safe
psicose,Safe,General,No known major side effects
psidium cattleianum fruit extract,Safe,Natural/conditioning,Generally safe
psidium guajava fruit,Safe,General,No known major side effects
psidium guajava fruit extract,Safe,Natural/conditioning,Generally safe
psidium guajava fruit juice,Safe,General,No known major side effects
psidium guajava leaf extract,Safe,Natural/conditioning,Generally safe
psidium guajava leaf oil,Safe,Natural/conditioning,Generally safe
psidium guajava seed oil,Safe,Natural/conditioning,Generally safe
psilanthus bengalensis leaf cell culture extract,Safe,Natural/conditioning,Generally safe
psophocarpus tetragonolobus root extract,Safe,Natural/conditioning,Generally safe
psophocarpus tetragonolobus seed extract,Safe,Natural/conditioning,Generally safe
psoralea corylifolia fruit extract,Safe,Natural/conditioning,Generally safe
psoralea corylifolia seed extract,Safe,Natural/conditioning,Generally safe
psoralea corylifolia seed powder,Safe,General,No known major side effects
pteridium aquilinum extract,Safe,Natural/conditioning,Generally safe
pteris dispar leaf extract,Safe,Natural/conditioning,Generally safe
pteris multifida extract,Safe,Natural/conditioning,Generally safe
pterocarpus marsupium bark/wood extract,Safe,Natural/conditioning,Generally safe
pterocarpus marsupium leaf extract,Safe,Natural/conditioning,Generally safe
pterocarpus marsupium wood extract,Safe,Natural/conditioning,Generally safe
pterocarpus soyauxii wood extract,Safe,Natural/conditioning,Generally safe
pterocladia tenuis extract,Safe,Natural/conditioning,Generally safe
p-tert-butyl acetophenone,Safe,General,No known major side effects
p-tert-butyl-alpha-methylhydrocinnamal /methylanthranilate schiff base,Safe,General,No known major side effects
p-tert-butylphenyl acetate,Safe,General,No known major side effects
p-tert-butylphenyl acetonitrile,Safe,General,No known major side effects
p-tert-butylphenylisobutanol,Safe,General,No known major side effects
ptfe,Safe,General,No known major side effects
p-tolyl phenylacetate,Safe,General,No known major side effects
ptychopetalum olacoides bark/root extract,Safe,Natural/conditioning,Generally safe
ptychopetalum olacoides bark/stem extract,Safe,Natural/conditioning,Generally safe
ptychopetalum olacoides bark extract,Safe,Natural/conditioning,Generally safe
ptychopetalum olacoides extract,Safe,Natural/conditioning,Generally safe
ptychopetalum olacoides leaf extract,Safe,Natural/conditioning,Generally safe
ptychopetalum olacoides root extract,Safe,Natural/conditioning,Generally safe
pueraria lobata flower extract,Safe,Natural/conditioning,Generally safe
pueraria lobata leaf/stem extract,Safe,Natural/conditioning,Generally safe
pueraria lobata root extract,Safe,Natural/conditioning,Generally safe
pueraria lobata root powder,Safe,General,No known major side effects
pueraria lobata starch,Safe,General,No known major side effects
pueraria lobata stem extract,Safe,Natural/conditioning,Generally safe
pueraria lobata symbiosome extract,Safe,Natural/conditioning,Generally safe
pueraria mirifica callus culture extract,Safe,Natural/conditioning,Generally safe
pueraria mirifica root powder,Safe,General,No known major side effects
pueraria mirifica root powder/propylene glycol ferment filtrate,Moderate,Solvent/active,Possible irritation or dryness
pueraria montana root extract,Safe,Natural/conditioning,Generally safe
pueraria thomsoni flower extract,Safe,Natural/conditioning,Generally safe
pueraria thunbergiana flower oil,Safe,Natural/conditioning,Generally safe
pueraria tuberosa leaf cell extract,Safe,Natural/conditioning,Generally safe
puerarin,Safe,General,No known major side effects
pulmonaria officinalis extract,Safe,Natural/conditioning,Generally safe
pulsatilla chinensis root extract,Safe,Natural/conditioning,Generally safe
pulsatilla koreana root extract,Safe,Natural/conditioning,Generally safe
pulsatilla saponin,Safe,General,No known major side effects
pulsatilla tongkangensis extract,Safe,Natural/conditioning,Generally safe
pulvinatal,Safe,General,No known major side effects
pumice extract,Safe,Natural/conditioning,Generally safe
pumpkin fruit extract beta-glucan,Safe,Natural/conditioning,Generally safe
pumpkin seed oil peg-8 esters,Moderate,Solvent/active,Possible irritation or dryness
pumpkin seed oil polyglyceryl-4 esters,Safe,Natural/conditioning,Generally safe
pumpkin seed oil polyglyceryl-4 esters succinate,Safe,Natural/conditioning,Generally safe
punica granatum callus culture extract,Safe,Natural/conditioning,Generally safe
punica granatum extract,Safe,Natural/conditioning,Generally safe
punica granatum flower extract,Safe,Natural/conditioning,Generally safe
punica granatum fruit/sucrose ferment filtrate,Safe,General,No known major side effects
punica granatum fruit extract,Safe,Natural/conditioning,Generally safe
punica granatum fruit juice,Safe,General,No known major side effects
punica granatum fruit water,Safe,General,No known major side effects
punica granatum glycerides,Safe,General,No known major side effects
punica granatum juice extract,Safe,Natural/conditioning,Generally safe
punica granatum leaf cell extract,Safe,Natural/conditioning,Generally safe
punica granatum pericarp extract,Safe,Natural/conditioning,Generally safe
punica granatum seed,Safe,General,No known major side effects
punica granatum seed cell culture lysate,Safe,General,No known major side effects
punica granatum seed extract,Safe,Natural/conditioning,Generally safe
punica granatum seed oil,Safe,Natural/conditioning,Generally safe
punica granatum seed oil stearyl esters,Safe,Natural/conditioning,Generally safe
punica granatum seed powder,Safe,General,No known major side effects
punica granatum sterols,Safe,General,No known major side effects
purpurogallin,Safe,General,No known major side effects
p-vinylphenol,Safe,General,No known major side effects
pvp/decene copolymer,Safe,General,No known major side effects
pvp-hydrogen peroxide,Safe,General,No known major side effects
pvp-iodine,Safe,General,No known major side effects
pvp montmorillonite,Safe,General,No known major side effects
pycnanthus angolensis nut oil,Safe,Natural/conditioning,Generally safe
pylaiella littoralis extract,Safe,Natural/conditioning,Generally safe
pyracantha fortuneana fruit extract,Safe,Natural/conditioning,Generally safe
pyrenaria buisanensis leaf extract,Safe,Natural/conditioning,Generally safe
pyricarbate,Safe,General,No known major side effects
pyridinedicarboxylic acid,Moderate,Solvent/active,Possible irritation or dryness
pyridoxine cyclic phosphate,Safe,General,No known major side effects
pyridoxine dicaprylate,Safe,General,No known major side effects
pyridoxine dilaurate,Safe,General,No known major side effects
pyridoxine dioctenoate,Safe,General,No known major side effects
pyridoxine glycyrrhetinate,Safe,General,No known major side effects
pyridoxine hydroxybenzoate,Safe,General,No known major side effects
pyridoxine hydroxycitrate,Safe,General,No known major side effects
pyridoxine salicylate,Safe,General,No known major side effects
pyridoxine serinate,Safe,General,No known major side effects
pyridoxine tripalmitate,Safe,General,No known major side effects
pyridoxine tris-hexyldecanoate,Safe,General,No known major side effects
pyridyloxide t-butylnitrone,Safe,General,No known major side effects
pyrite powder,Safe,General,No known major side effects
pyrocatechol,Safe,General,No known major side effects
pyrocystis noctiluca extract,Safe,Natural/conditioning,Generally safe
pyrocystis noctiluca lysate,Safe,General,No known major side effects
pyrogallol,Safe,General,No known major side effects
pyroglutamylamidoethyl indole,Safe,General,No known major side effects
pyroglutamyl dipeptide-30 amide,Safe,General,No known major side effects
pyroligneous acids ethyl esters,Moderate,Solvent/active,Possible irritation or dryness
pyroligneous acids extracts,Moderate,Solvent/active,Possible irritation or dryness
pyrophyllite,Safe,General,No known major side effects
pyrostegia venusta flower extract,Safe,Natural/conditioning,Generally safe
pyrrolidinyl diaminopyrimidine oxide oxothiazolidinecarboxylate,Safe,General,No known major side effects
pyrroloquinoline quinone,Safe,General,No known major side effects
pyrroloquinoline quinone allyl ester,Safe,General,No known major side effects
pyrrosia hastata extract,Safe,Natural/conditioning,Generally safe
pyrrosia lingua extract,Safe,Natural/conditioning,Generally safe
pyrus bretschneideri fruit extract,Safe,Natural/conditioning,Generally safe
pyrus bretschneideri fruit juice,Safe,General,No known major side effects
pyrus calleryana extract,Safe,Natural/conditioning,Generally safe
pyrus communis flower extract,Safe,Natural/conditioning,Generally safe
pyrus communis flower water,Safe,General,No known major side effects
pyrus communis fruit,Safe,General,No known major side effects
pyrus communis fruit cell culture extract,Safe,Natural/conditioning,Generally safe
pyrus communis fruit juice,Safe,General,No known major side effects
pyrus communis seed extract,Safe,Natural/conditioning,Generally safe
pyrus communis twig extract,Safe,Natural/conditioning,Generally safe
pyrus communis water,Safe,General,No known major side effects
pyrus cydonia flower extract,Safe,Natural/conditioning,Generally safe
pyrus cydonia fruit extract,Safe,Natural/conditioning,Generally safe
pyrus cydonia peel/fruit cera,Safe,General,No known major side effects
pyrus cydonia peel/fruit wax,Safe,General,No known major side effects
pyrus cydonia seed oil,Safe,Natural/conditioning,Generally safe
pyrus germanica extract,Safe,Natural/conditioning,Generally safe
pyrus malus bark extract,Safe,Natural/conditioning,Generally safe
pyrus malus callus powder,Safe,General,No known major side effects
pyrus malus carpel powder,Safe,General,No known major side effects
pyrus malus fiber,Safe,General,No known major side effects
pyrus malus flower extract,Safe,Natural/conditioning,Generally safe
pyrus malus flower water,Safe,General,No known major side effects
pyrus malus fruit,Safe,General,No known major side effects
pyrus malus fruit water,Safe,General,No known major side effects
pyrus malus juice,Safe,General,No known major side effects
pyrus malus leaf extract,Safe,Natural/conditioning,Generally safe
pyrus malus pectin extract,Safe,Natural/conditioning,Generally safe
pyrus malus peel cera,Safe,General,No known major side effects
pyrus malus peel extract,Safe,Natural/conditioning,Generally safe
pyrus malus pomace extract,Safe,Natural/conditioning,Generally safe
pyrus malus pulp extract,Safe,Natural/conditioning,Generally safe
pyrus malus root bark powder,Safe,General,No known major side effects
pyrus malus root extract,Safe,Natural/conditioning,Generally safe
pyrus malus seed extract,Safe,Natural/conditioning,Generally safe
pyrus malus seed oil,Safe,Natural/conditioning,Generally safe
pyrus malus stem extract,Safe,Natural/conditioning,Generally safe
pyrus pyrifolia fruit extract,Safe,Natural/conditioning,Generally safe
pyrus pyrifolia fruit juice,Safe,General,No known major side effects
pyrus pyrifolia peel extract,Safe,Natural/conditioning,Generally safe
pyrus serotina callus extract,Safe,Natural/conditioning,Generally safe
pyrus sorbus bud extract,Safe,Natural/conditioning,Generally safe
pyrus spinosa fruit extract,Safe,Natural/conditioning,Generally safe
pythium oligandrum ferment,Safe,General,No known major side effects
quark cheese,Safe,General,No known major side effects
quartz,Safe,General,No known major side effects
quartz powder,Safe,General,No known major side effects
quassia amara wood,Safe,General,No known major side effects
quassia amara wood extract,Safe,Natural/conditioning,Generally safe
quassia amara wood powder,Safe,General,No known major side effects
quassin,Safe,General,No known major side effects
quaternium-14,Safe,General,No known major side effects
quaternium-15,Safe,General,No known major side effects
quaternium-16,Safe,General,No known major side effects
quaternium-18/benzalkonium bentonite,Safe,General,No known major side effects
quaternium-18 methosulfate,Safe,General,No known major side effects
quaternium-24,Safe,General,No known major side effects
quaternium-27,Safe,General,No known major side effects
quaternium-30,Safe,General,No known major side effects
quaternium-43,Safe,General,No known major side effects
quaternium-45,Safe,General,No known major side effects
quaternium-51,Safe,General,No known major side effects
quaternium-53,Safe,General,No known major side effects
quaternium-56,Safe,General,No known major side effects
quaternium-61,Safe,General,No known major side effects
quaternium-63,Safe,General,No known major side effects
quaternium-71,Safe,General,No known major side effects
quaternium-72,Safe,General,No known major side effects
quaternium-73,Safe,General,No known major side effects
quaternium-76 hydrolyzed collagen,Safe,General,No known major side effects
quaternium-77,Safe,General,No known major side effects
quaternium-78,Safe,General,No known major side effects
quaternium-79 hydrolyzed collagen,Safe,General,No known major side effects
quaternium-79 hydrolyzed keratin,Safe,General,No known major side effects
quaternium-79 hydrolyzed milk protein,Safe,General,No known major side effects
quaternium-79 hydrolyzed silk,Safe,General,No known major side effects
quaternium-79 hydrolyzed soy protein,Safe,General,No known major side effects
quaternium-79 hydrolyzed wheat protein,Safe,General,No known major side effects
quaternium-8,Safe,General,No known major side effects
quaternium-81,Safe,General,No known major side effects
quaternium-82,Safe,General,No known major side effects
quaternium-83,Safe,General,No known major side effects
quaternium-84,Safe,General,No known major side effects
quaternium-85,Safe,General,No known major side effects
quaternium-86,Safe,General,No known major side effects
quaternium-88,Safe,General,No known major side effects
quaternium-89,Safe,General,No known major side effects
quaternium-90 montmorillonite,Safe,General,No known major side effects
quaternium-92,Safe,General,No known major side effects
quaternium-93,Safe,General,No known major side effects
quaternium-96,Safe,General,No known major side effects
quaternium-97,Safe,General,No known major side effects
quaternium-98,Safe,General,No known major side effects
queen bee larva,Safe,General,No known major side effects
quercetagetin,Safe,General,No known major side effects
quercetin dimethyl ether glucoside,Safe,General,No known major side effects
quercus acuta branch/leaf extract,Safe,Natural/conditioning,Generally safe
quercus acutissima extract,Safe,Natural/conditioning,Generally safe
quercus acutissima wood vinegar extract,Safe,Natural/conditioning,Generally safe
quercus aegilops cupule extract,Safe,Natural/conditioning,Generally safe
quercus alba bark extract,Safe,Natural/conditioning,Generally safe
quercus glauca branch/leaf extract,Safe,Natural/conditioning,Generally safe
quercus glauca seed extract,Safe,Natural/conditioning,Generally safe
quercus glauca stem extract,Safe,Natural/conditioning,Generally safe
quercus glauca wood vinegar,Safe,General,No known major side effects
quercus ilex callus powder,Safe,General,No known major side effects
quercus mongolica leaf extract,Safe,Natural/conditioning,Generally safe
quercus petraea bark extract,Safe,Natural/conditioning,Generally safe
quercus petraea fruit extract,Safe,Natural/conditioning,Generally safe
quercus petraea sap,Safe,General,No known major side effects
quercus pubescens leaf/stem extract,Safe,Natural/conditioning,Generally safe
quercus robur bud extract,Safe,Natural/conditioning,Generally safe
quercus robur wood extract,Safe,Natural/conditioning,Generally safe
quercus salicina extract,Safe,Natural/conditioning,Generally safe
quercus salicina leaf extract,Safe,Natural/conditioning,Generally safe
quercus semecarpifolia bark extract,Safe,Natural/conditioning,Generally safe
quercus serrata extract,Safe,Natural/conditioning,Generally safe
quercus serrata seed extract,Safe,Natural/conditioning,Generally safe
quillaja saponaria bark,Safe,General,No known major side effects
quillaja saponaria bark extract,Safe,Natural/conditioning,Generally safe
quillaja saponaria root extract,Safe,Natural/conditioning,Generally safe
quillaja saponaria wood extract,Safe,Natural/conditioning,Generally safe
quinic acid,Moderate,Solvent/active,Possible irritation or dryness
quinine,Safe,General,No known major side effects
quinoa starch octenylsuccinate,Safe,General,No known major side effects
quinoyl tripeptide-1,Safe,General,No known major side effects
quinoyl tripeptide-35,Safe,General,No known major side effects
quinoyl tripeptide-7,Safe,General,No known major side effects
r-(dipeptide-43 mussel polypeptide-2 dipeptide-44 mussel oligopeptide-1 tetrapeptide-70 mussel polypeptide-2 dipeptide-40 sh-pentapeptide-40),Safe,General,No known major side effects
r-(dipeptide-46 s-staphylococcus aureus polypeptide-1 hexapeptide-68 sh-polypeptide-82),Safe,General,No known major side effects
r-(methionyl hexapeptide-40 sh-polypeptide-119 oligopeptide-164),Safe,General,No known major side effects
r-(methionyl sh-oligopeptide-1 oligopeptide-164),Safe,General,No known major side effects
r-(methionyl sh-oligopeptide-85),Safe,General,No known major side effects
r-(methionyl sh-polypeptide-10 decapeptide-40),Safe,General,No known major side effects
r-(methionyl sh-polypeptide-1 decapeptide-47),Safe,General,No known major side effects
r-(methionyl sh-polypeptide-31 decapeptide-40),Safe,General,No known major side effects
r-(methionyl sh-polypeptide-58 decapeptide-40),Safe,General,No known major side effects
r-(methionyl sh-polypeptide-60 decapeptide-40),Safe,General,No known major side effects
r-(methionyl sh-polypeptide-8 decapeptide-40),Safe,General,No known major side effects
r-(methionyl sh-polypeptide-9 oligopeptide-164,Safe,General,No known major side effects
r-(methionyl tripeptide-46 hexapeptide-40 tetrapeptide-66 synechococcus polypeptide-1),Safe,General,No known major side effects
r-(oligopeptide-126 sh-oligopeptide-1 sh-polypeptide-124 sh-polypeptide-2),Safe,General,No known major side effects
r-(oligopeptide-126 sh-polypeptide-2),Safe,General,No known major side effects
r-(oligopeptide-126 sh-polypeptide-51 dipeptide-19 hexapeptide-40),Safe,General,No known major side effects
r-(oligopeptide-126 sh-polypeptide-60 dipeptide-19 hexapeptide-40),Safe,General,No known major side effects
r-(oligopeptide-133 sh-oligopeptide-1),Safe,General,No known major side effects
r-(oligopeptide-133 sh-oligopeptide-2),Safe,General,No known major side effects
r-(oligopeptide-133 sh-polypeptide-11),Safe,General,No known major side effects
r-(sh-oligopeptide-4 decapeptide-40),Safe,General,No known major side effects
r-(sh-oligopeptide-75 sh-oligopeptide-2),Safe,General,No known major side effects
r-(sh-oligopeptide-75 sh-polypeptide-1),Safe,General,No known major side effects
r-(sh-oligopeptide-75 sh-polypeptide-8),Safe,General,No known major side effects
r-(sh-oligopeptide-75 sh-polypeptide-9),Safe,General,No known major side effects
r-(sh-oligopeptide-94 hexapeptide-40),Safe,General,No known major side effects
r-(sh-polypeptide-102 methionyl s-pentadiplandra brazzeana defensin-like protein),Safe,General,No known major side effects
r-(sh-polypeptide-102 sh-polypeptide-103),Safe,General,No known major side effects
r-(sh-polypeptide-111 oligopeptide-163 sh-polypeptide-117 sh-polypeptide-94 sh-polypeptide-95 pentapeptide-63 oligopeptide-163 sh-polypeptide-6) dimer,Safe,General,No known major side effects
r-(sh-polypeptide-119 decapeptide-40),Safe,General,No known major side effects
r-(sh-polypeptide-19 decapeptide-40),Safe,General,No known major side effects
r-(sh-polypeptide-22 decapeptide-40),Safe,General,No known major side effects
r-(sh-polypeptide-2 decapeptide-40),Safe,General,No known major side effects
r-(sh-polypeptide-62 decapeptide-40),Safe,General,No known major side effects
r-(sh-polypeptide-69 tripeptide-78 sh-polypeptide-69 aspartyl hexapeptide-40 hexapeptide-78),Safe,General,No known major side effects
